Name,Type,County,Population
Adelanto,City,San Bernardino,38046
Agoura Hills,City,Los Angeles,20299
Alameda,City,Alameda,78280
Albany,City,Alameda,20271
Alhambra,City,Los Angeles,82868
Aliso Viejo,City,Orange,52176
Alturas,City,Modoc,2715
Amador City,City,Amador,200
American Canyon,City,Napa,21837
Anaheim,City,Orange,346824
Anderson,City,Shasta,11323
Angels Camp,City,Calaveras,3667
Antioch,City,Contra Costa,115291
Apple Valley,Town,San Bernardino,75791
Arcadia,City,Los Angeles,56681
Arcata,City,Humboldt,18857
Arroyo Grande,City,San Luis Obispo,18441
Artesia,City,Los Angeles,16395
Arvin,City,Kern,19495
Atascadero,City,San Luis Obispo,29773
Atherton,Town,San Mateo,7188
Atwater,City,Merced,31970
Auburn,City,Placer,13776
Avalon,City,Los Angeles,3460
Avenal,City,Kings,13696
Azusa,City,Los Angeles,50000
Bakersfield,City,Kern,403455
Baldwin Park,City,Los Angeles,72176
Banning,City,Riverside,29505
Barstow,City,San Bernardino,25415
Beaumont,City,Riverside,53036
Bell,City,Los Angeles,33559
Bell Gardens,City,Los Angeles,39501
Bellflower,City,Los Angeles,79190
Belmont,City,San Mateo,28335
Belvedere,City,Marin,2126
Benicia,City,Solano,27131
Berkeley,City,Alameda,124321
Beverly Hills,City,Los Angeles,32701
Big Bear Lake,City,San Bernardino,5046
Biggs,City,Butte,1964
Bishop,City,Inyo,3819
Blue Lake,City,Humboldt,1208
Blythe,City,Riverside,18317
Bradbury,City,Los Angeles,921
Brawley,City,Imperial,26416
Brea,City,Orange,47325
Brentwood,City,Contra Costa,64292
Brisbane,City,San Mateo,4851
Buellton,City,Santa Barbara,5161
Buena Park,City,Orange,84034
Burbank,City,Los Angeles,107337
Burlingame,City,San Mateo,31386
Calabasas,City,Los Angeles,23241
Calexico,City,Imperial,38633
California City,City,Kern,14973
Calimesa,City,Riverside,10026
Calipatria,City,Imperial,6515
Calistoga,City,Napa,5228
Camarillo,City,Ventura,70741
Campbell,City,Santa Clara,43959
Canyon Lake,City,Riverside,11082
Capitola,City,Santa Cruz,9938
